average_reward,episode,frame,epsilon
1.57,9848,2210000,0.1
1.65,9887,2220000,0.1
1.48,9926,2230000,0.1
1.61,9964,2240000,0.1
1.65,10004,2250000,0.1
1.53,10046,2260000,0.1
1.54,10084,2270000,0.1
1.47,10126,2280000,0.1
1.37,10169,2290000,0.1
1.51,10210,2300000,0.1
1.51,10252,2310000,0.1
1.7,10289,2320000,0.1
1.76,10330,2330000,0.1
1.64,10372,2340000,0.1
1.38,10414,2350000,0.1
1.58,10456,2360000,0.1
1.5,10497,2370000,0.1
1.51,10538,2380000,0.1
1.45,10581,2390000,0.1
1.56,10621,2400000,0.1
1.52,10662,2410000,0.1
1.75,10700,2420000,0.1
1.47,10743,2430000,0.1
1.36,10784,2440000,0.1
1.65,10822,2450000,0.1
1.77,10862,2460000,0.1
1.71,10904,2470000,0.1
1.78,10942,2480000,0.1
1.61,10983,2490000,0.1
1.68,11025,2500000,0.1
1.81,11063,2510000,0.1
1.88,11103,2520000,0.1
1.56,11149,2530000,0.1
1.53,11190,2540000,0.1
1.67,11230,2550000,0.1
1.92,11267,2560000,0.1
2.01,11308,2570000,0.1
1.88,11346,2580000,0.1
1.63,11387,2590000,0.1
1.71,11425,2600000,0.1
1.9,11465,2610000,0.1
1.94,11506,2620000,0.1
2.08,11544,2630000,0.1
2.06,11581,2640000,0.1
2.19,11621,2650000,0.1
1.91,11663,2660000,0.1
2.07,11700,2670000,0.1
2.11,11740,2680000,0.1
1.96,11781,2690000,0.1
1.95,11822,2700000,0.1
2.12,11861,2710000,0.1
2.17,11902,2720000,0.1
2.21,11941,2730000,0.1
2.12,11980,2740000,0.1
2.28,12019,2750000,0.1
1.93,12062,2760000,0.1
1.66,12105,2770000,0.1
1.64,12147,2780000,0.1
1.88,12186,2790000,0.1
1.86,12228,2800000,0.1
1.67,12273,2810000,0.1
1.75,12310,2820000,0.1
2.16,12349,2830000,0.1
2.16,12388,2840000,0.1
2.12,12429,2850000,0.1
2.03,12470,2860000,0.1
1.96,12510,2870000,0.1
2.02,12549,2880000,0.1
1.99,12590,2890000,0.1
2.02,12627,2900000,0.1
2.21,12665,2910000,0.1
1.76,12707,2920000,0.1
1.89,12746,2930000,0.1
2.07,12782,2940000,0.1
1.9,12826,2950000,0.1
1.95,12865,2960000,0.1
1.88,12903,2970000,0.1
1.89,12943,2980000,0.1
1.99,12980,2990000,0.1
2.06,13020,3000000,0.1
1.97,13062,3010000,0.1
1.67,13103,3020000,0.1
1.81,13138,3030000,0.1
2.1,13177,3040000,0.1
2.01,13217,3050000,0.1
1.77,13261,3060000,0.1
1.73,13305,3070000,0.1
1.66,13348,3080000,0.1
1.65,13387,3090000,0.1
1.89,13425,3100000,0.1
1.95,13464,3110000,0.1
2.22,13501,3120000,0.1
1.9,13544,3130000,0.1
1.74,13586,3140000,0.1
1.68,13626,3150000,0.1
1.74,13667,3160000,0.1
1.7,13708,3170000,0.1
1.64,13748,3180000,0.1
1.55,13792,3190000,0.1
1.57,13835,3200000,0.1
1.67,13876,3210000,0.1
1.61,13919,3220000,0.1
1.63,13958,3230000,0.1
1.81,13997,3240000,0.1
1.69,14038,3250000,0.1
1.65,14079,3260000,0.1
1.68,14117,3270000,0.1
1.52,14159,3280000,0.1
1.87,14198,3290000,0.1
1.94,14238,3300000,0.1
1.93,14279,3310000,0.1
1.82,14320,3320000,0.1
1.94,14360,3330000,0.1
2.08,14399,3340000,0.1
2.17,14440,3350000,0.1
1.96,14481,3360000,0.1
1.98,14522,3370000,0.1
2.02,14561,3380000,0.1
2.29,14599,3390000,0.1
2.04,14639,3400000,0.1
1.96,14682,3410000,0.1
1.91,14723,3420000,0.1
1.98,14760,3430000,0.1
2.01,14802,3440000,0.1
1.77,14844,3450000,0.1
1.85,14886,3460000,0.1
1.66,14929,3470000,0.1
1.63,14973,3480000,0.1
1.37,15014,3490000,0.1
1.5,15056,3500000,0.1
1.54,15100,3510000,0.1
1.84,15138,3520000,0.1
1.85,15181,3530000,0.1
1.84,15222,3540000,0.1
1.87,15262,3550000,0.1
1.71,15303,3560000,0.1
1.56,15346,3570000,0.1
1.44,15390,3580000,0.1
1.63,15431,3590000,0.1
1.83,15471,3600000,0.1
2.04,15510,3610000,0.1
2.05,15547,3620000,0.1
2.18,15583,3630000,0.1
1.89,15626,3640000,0.1
1.83,15666,3650000,0.1
1.65,15707,3660000,0.1
1.82,15746,3670000,0.1
1.75,15788,3680000,0.1
1.67,15830,3690000,0.1
1.51,15875,3700000,0.1
1.57,15917,3710000,0.1
1.69,15957,3720000,0.1
1.89,15996,3730000,0.1
1.85,16038,3740000,0.1
1.82,16078,3750000,0.1
1.62,16123,3760000,0.1
1.61,16165,3770000,0.1
1.72,16205,3780000,0.1
1.88,16246,3790000,0.1
1.85,16284,3800000,0.1
1.62,16327,3810000,0.1
1.8,16364,3820000,0.1
2.07,16404,3830000,0.1
2.17,16442,3840000,0.1
1.93,16484,3850000,0.1
1.96,16520,3860000,0.1
2.06,16560,3870000,0.1
1.85,16602,3880000,0.1
1.51,16644,3890000,0.1
1.78,16682,3900000,0.1
1.94,16722,3910000,0.1
1.96,16765,3920000,0.1
1.94,16804,3930000,0.1
1.97,16845,3940000,0.1
1.96,16887,3950000,0.1
1.75,16928,3960000,0.1
1.66,16970,3970000,0.1
2.04,17006,3980000,0.1
2.11,17048,3990000,0.1
2.13,17090,4000000,0.1
2.16,17129,4010000,0.1
